J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,stage_mae,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
726,0.21,sn_kjContinuousBeta_sigmoid,17,1,BebmS,3,0.07138470243047179,0.745971930526386,223.98589785496395,0.3705050505050505,0.0,8.511724137931035,0.013245033112582781,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,17,1,BebmS (Blind),3,0.07138470243047179,0.745971930526386,276.36812727451326,0.4101010101010101,0.0,8.703448275862069,0.2847682119205298,,3.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,17,1,Random Guessing,3,0.07138470243047179,0.745971930526386,0.0,0.4844751726325402,-0.0015591492600236488,53.74068965517241,6.066225165562914,,3.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,17,1,SuStaIn (GMM),3,0.07138470243047179,0.745971930526386,648.9156593521436,0.44350168350168345,0.2835279798135195,17.486896551724136,46.324503311258276,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,17,1,SuStaIn (KDE),3,0.07138470243047179,0.745971930526386,675.3497816443444,0.38606060606060605,0.004297990778445231,12.477241379310344,18.29139072847682,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,18,1,BebmS,3,0.1509687735436853,0.9102043537687102,138.22766738335292,0.4283501683501683,0.0,12.58206896551724,0.039735099337748346,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,18,1,BebmS (Blind),3,0.1509687735436853,0.9102043537687102,163.88884876171747,0.40397306397306404,0.0,8.813793103448276,1.6357615894039734,,0.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,18,1,Random Guessing,3,0.1509687735436853,0.9102043537687102,0.0,0.4661363038730773,-0.002900063479742215,52.064827586206896,5.602649006622516,,0.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,18,1,SuStaIn (GMM),3,0.1509687735436853,0.9102043537687102,196.7011334101359,0.4026936026936027,0.052256273886457774,16.655172413793103,44.503311258278146,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,18,1,SuStaIn (KDE),3,0.1509687735436853,0.9102043537687102,193.0558690349261,0.3060606060606061,0.024852220168066198,13.86344827586207,21.264900662251655,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,19,1,BebmS,3,0.16904848660735702,0.9458559189252258,201.41258856455485,0.41629629629629633,0.0,7.96,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,19,1,BebmS (Blind),3,0.16904848660735702,0.9458559189252258,192.2733168999354,0.38518518518518513,0.0,7.6289655172413795,0.0,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,19,1,Random Guessing,3,0.16904848660735702,0.9458559189252258,0.0,0.4848134767144862,0.0007117922420239789,52.648275862068964,5.993333333333333,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,19,1,SuStaIn (GMM),3,0.16904848660735702,0.9458559189252258,619.4626106063525,0.36835016835016837,0.04333879279253119,16.093793103448277,43.68666666666667,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,19,1,SuStaIn (KDE),3,0.16904848660735702,0.9458559189252258,795.518353164196,0.3703703703703704,0.0003583679883248643,13.79448275862069,19.633333333333333,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,20,1,BebmS,3,0.04112846405988062,0.49073040637397075,130.04560749530793,0.23037037037037036,0.9689029677253119,3.961432506887052,0.11920529801324503,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,20,1,BebmS (Blind),3,0.04112846405988062,0.49073040637397075,159.17107090950012,0.28909090909090907,0.9073969818533234,6.5013774104683195,0.17218543046357615,,0.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,20,1,Random Guessing,3,0.04112846405988062,0.49073040637397075,0.0,0.46035742879019265,0.002612890765236224,53.009641873278234,6.311258278145695,,0.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,20,1,SuStaIn (GMM),3,0.04112846405988062,0.49073040637397075,253.15093043645223,0.36006734006734004,0.9893003155761376,14.451790633608816,42.397350993377486,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,20,1,SuStaIn (KDE),3,0.04112846405988062,0.49073040637397075,325.9729900121689,0.2963636363636364,0.45933320047904014,11.896694214876034,18.3841059602649,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,21,1,BebmS,3,0.39252959426570133,0.989006900690069,85.6316799680392,0.44942760942760945,0.0,14.260330578512397,0.02,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,21,1,BebmS (Blind),3,0.39252959426570133,0.989006900690069,99.66350727081299,0.3892255892255892,0.0,8.479338842975206,0.9666666666666667,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,21,1,Random Guessing,3,0.39252959426570133,0.989006900690069,0.0,0.4725336287916794,-0.0012075641868728986,53.31129476584022,5.633333333333334,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,21,1,SuStaIn (GMM),3,0.39252959426570133,0.989006900690069,670.9806692401568,0.36754208754208756,0.020752013545277642,16.742424242424242,48.03333333333333,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,21,1,SuStaIn (KDE),3,0.39252959426570133,0.989006900690069,765.5506355563799,0.2865993265993266,-0.0025634972445549237,10.858126721763085,19.093333333333334,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,22,1,BebmS,3,0.333343924593604,0.9786458645864586,114.24081710974376,0.39488215488215483,0.0,9.442148760330578,0.06,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,22,1,BebmS (Blind),3,0.333343924593604,0.9786458645864586,148.9501213391622,0.4324579124579125,0.0,11.893939393939394,0.8933333333333333,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,22,1,Random Guessing,3,0.333343924593604,0.9786458645864586,0.0,0.4885476105444197,-0.0011388443735431129,51.20385674931129,5.773333333333333,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,22,1,SuStaIn (GMM),3,0.333343924593604,0.9786458645864586,323.27508703867596,0.34040404040404043,0.05227588049726647,13.910468319559229,36.78,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,22,1,SuStaIn (KDE),3,0.333343924593604,0.9786458645864586,385.537384557724,0.32336700336700336,0.002457498766746958,11.887052341597796,18.953333333333333,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,23,1,BebmS,3,0.11785572901423595,0.8477127712771277,156.01895359754562,0.3422895622895623,0.26278573979960074,9.09228650137741,0.052980132450331126,,,100,100
